S	T
LEPREL1	COL1A1
AGTR1	EDNRB
COL5A2	LEPREL1
HSD17B6	AOX1
C5AR1	GNG11
CD36	PTPRB
LEPREL1	COL3A1
KIF11	KDELR2
CLDN1	CLDN18
CA2	CDH1
PPAP2C	SGPP2
MAOB	AOX1
FBXO32	NEDD4L
FPR1	CXCL5
CX3CR1	GNG2
TNC	WFS1
HSD17B6	SRD5A1
COL6A6	COL3A1
COL4A3	COL6A6
C5AR1	CXCL3
PPBP	VWF
SPP1	MSLN
CYR61	SPP1
C5AR1	P2RY14
FPR2	PLCB4
LMO7	ZBTB16
ARRB1	QKI
ANXA1	S1PR1
CXCL12	CXCL13
RXFP1	CALCRL
GPIHBP1	NTNG1
CDC20	RNF144B
GOLM1	VCAN
COL5A1	COL6A6
IRF1	EGR1
SPTBN1	SCN4B
PRC1	MCM7
MYH11	ITGA1
RNF182	CDC20
ARRB1	ACTR2
CYR61	VCAN
FYN	CLEC4E
CLDN5	CLDN18
EDN1	GNG11
ANXA1	C5AR1
CENPF	KIF15
MGAM	CEACAM1
KIF4A	KDELR2
CLDN5	CLDN1
RAP1A	QKI
NEDD4L	RNF144B
OSCAR	HBB
PTGER4	RAMP2
RXFP1	PTGER4
ANXA1	GNG2
FCGR3B	ART4
ANXA1	PPBP
DYNC1I2	CDK1
CFD	CLU
PPP1R14A	RHOB
OSCAR	TCN1
PTPRB	OLR1
ASPM	CDKN3
IL7R	ADRB2
LDLR	SH3GL3
COL6A6	COL10A1
IQGAP3	CDH1
CXCL12	S1PR1
IL7R	ARPC3
GOLM1	WFS1
SLPI	CFP
CDC20	SOCS3
FZD4	GNG11
RAP1A	OLR1
ASPM	UBE2C
ADRB1	RAMP2
AGTR1	PLCB4
GRIA1	AREG
COL3A1	PCOLCE2
ANXA1	GPR65
COL6A6	COL1A1
MMRN1	CFD
LEPREL1	COL1A2
COL11A1	COL6A6
LDLR	AGTR1
CALCRL	PTGER4
C5AR1	CXCL13
AGTR1	AGTR2
RXFP1	VIPR1
THSD7A	SEMA5A
CSF2RB	SFTPD
TTN	TMOD1
GNG2	PRKCE
CHRDL1	TNC
CLEC12A	PTPRB
PPBP	PTX3
DYNC1I2	ZWINT
PLCB4	GPR65
MSLN	TNC
IGFBP3	CHRDL1
CASC5	HIST1H2BD
FYN	ELMO1
PROS1	CFD
SCN7A	SCN4B
FPR1	ADRB2
FYN	HBEGF
LILRB2	OLR1
FBXO32	UBE2C
GPX3	ALOX5
MGAM	PTPRB
KIF11	CDC6
FGF7	FGF2
PROS1	VWF
ITGAL	OLR1
MSLN	ART4
FPR1	CXCL3
CLEC12A	CEACAM1
CEBPD	PPARG
MCEMP1	CEACAM1
GPIHBP1	ART4
FRK	MNDA
OLR1	CD93
MAOB	INMT
GNG2	P2RY14
FRK	CFP
PTTG1	NCAPG
CD36	PPARG
ADAMTSL3	ADAMTS8
IGFBP3	VCAN
ADRB2	RAMP2
GNG2	P2RY13
SCN7A	SPTBN1
CD36	RAP1A
SH3GL3	ARPC3
CCL4	ANXA1
THBS2	ADAMTS8
CCL4	EDN1
CCL4	GNG2
LDLR	ADRB2
SPP1	VCAN
MMP9	HBEGF
CD36	PLAU
COL11A1	LEPREL1
RNF182	NEDD4L
FPR2	EDNRB
HIST1H2BD	CENPU
GPIHBP1	MSLN
MSLN	VNN2
CENPK	HIST1H2BD
PLAU	CD93
AGTR1	SH3GL3
LILRB2	PTPRB
RAP1A	CDH1
ARRB1	ARPC4
CHRDL1	CP
RNF182	HECW2
FPR1	VAPA
SMC4	KIF15
CFB	CD55
FPR2	RAP1A
IL6	SPP1
RNF182	SOCS3
FCGR3B	CEACAM5
KIF15	CCNB2
AGTR2	SSTR1
ZFP36	TNPO1
AGTR1	ANXA1
SBSPON	CFP
DYNC1I2	NEK2
FPR2	CXCL3
CXCR2	RAB11A
EBF1	FABP4
MMP9	HBB
CXCL2	P2RY13
TCN1	CFP
FPR1	CXCL13
KIF4A	CCNB1
MELK	MAD2L1
DYNC1I2	ANK2
PRKCE	PRKCB
LMO7	FBXO32
ITGA8	ITGAL
IL7R	ACTR3
P2RY13	CXCL3
SPP1	ITGA8
CD36	CEACAM1
SH3GL3	ADRB2
P2RY13	SSTR1
F8	CFD
FCGR3B	NEGR1
RXFP1	GNG2
GNG2	CXCL3
CHRDL1	WFS1
MGAM	OLR1
GNG2	CXCL13
CXCR2	NMU
AGTR2	PROK2
LDLR	ARPC4
OLR1	CEACAM1
S1PR1	NMU
AGTR2	S1PR1
COL6A6	LEPREL1
DYNC1I2	CENPF
ARRB1	CXCL12
AGTR1	NMU
MSLN	VCAN
MSLN	NTNG1
ADRB1	PTGER4
NMU	KISS1R
EDN1	NMU
P2RY13	CXCL5
ADAM12	PRKCB
CXCL3	NMU
VCAN	WFS1
ANXA1	NMU
ARPC4	WASF3
WASF3	ELMO1
F2RL1	PROK2
KIF26B	KDELR2
RAP1A	CEACAM1
AGTR2	KISS1R
GPX2	ALOX5
DYNC1I2	HMMR
HMMR	LYVE1
SOCS3	HECW2
ANXA1	SSTR1
MSLN	WFS1
THSD7A	SBSPON
PLAC8	ACTR2
FCN1	FCN3
FBXO32	CDC20
SMC4	MCM7
SH3GL3	IL7R
FPR2	PTPRB
AGTR2	CX3CR1
NTNG1	ART4
DYNC1I2	CD55
P2RY14	CXCL3
ADRB2	ARPC3
FPR2	F2RL1
P2RY14	CXCL5
FRK	SLPI
LMO7	CDC20
FPR2	NMU
GOLM1	CP
ITGAL	ITGA1
CDKN2A	CDKN1C
COL13A1	LEPREL1
RECK	NEGR1
AGTR2	F2RL1
GPX8	ALOX5
PLCB4	GNG11
THSD7A	THBS2
KDELR3	ARHGAP6
AGTR2	P2RY13
ADRB2	RAMP3
CLDN1	CLDN11
KIF26B	KIF20A
RAP1A	MCEMP1
DYNC1I2	NDC80
MMRN1	F8
FPR2	AGTR2
HIST1H2BD	FOSB
FBXO32	RNF182
CD55	SPTBN1
SSTR1	NMU
MSLN	CD52
SOCS2	FBXO32
DYNC1I2	NUF2
PTPRB	MCEMP1
CXCL13	GNG11
MSLN	RECK
PPAPDC1B	LPL
MSLN	NEGR1
PPAP2C	LPL
F2RL1	NMU
AGTR2	CXCL5
KDELR3	KIF26B
ARRB1	EDN1
CALCRL	VIPR1
CCL4	NMU
CXCL12	P2RY14
VNN2	CEACAM5
ARPC4	ADRB2
SDC1	COL11A1
LSAMP	MSLN
RMI2	SPIDR
OSCAR	SLPI
CXCL12	CX3CR1
KIF26B	KIF2C
KIF26B	KIF4A
RXFP1	RAMP3
KDELR3	CD55
AGTR1	C5AR1
DYNC1I2	KDELR2
SEMA5A	SBSPON
FBXO32	HECW2
EDNRB	AGTR2
LMO7	UBE2C
IL6	MSLN
AGTR2	P2RY14
KIF26B	KIF15
PLAU	CEACAM1
DYNC1I2	TPX2
SEMA5A	ADAMTS8
METTL7A	MMP9
RAP1A	CD93
FCGR3B	RECK
S1PR1	SSTR1
KDELR3	KIF15
CLDN18	CLDN11
GRK5	EDN1
ARRB1	RAP1A
VNN2	ART4
KDELR3	ARAP2
CXCL12	CXCL5
DYNC1I2	CENPU
CD52	THY1
THSD7A	ADAMTSL3
SEMA5A	ADAMTSL4
HSD17B6	SRD5A3
IL6	CHRDL1
TPSAB1	MMP1
CXCL12	C5AR1
FCGR3B	THY1
AGTR1	GPR65
CX3CR1	CXCL13
C5AR1	S1PR1
OSCAR	LCN2
OSCAR	PTX3
RECK	CEACAM5
P2RY14	SSTR1
PROS1	PPBP
THSD7A	ADAMTSL4
COL4A3	ITGA1
CXCL2	GNG2
CXCL2	CX3CR1
VNN2	THY1
IGLL5	ACTR3
MSLN	CHRDL1
GPIHBP1	FCGR3B
ANXA1	CX3CR1
GNG2	PPBP
PLAU	ITGAL
ADRB2	ACTR3
S1PR1	CXCL3
GNG2	F2RL1
UBE2C	SOCS3
CD55	ANK2
P2RY14	CXCL13
BMP2	PPP1R15A
ACTR2	IL7R
IGLL5	ACTR2
GRIA1	F8
ARRB1	ARPC3
KDELR3	DYNC1I2
IL6	WFS1
ARRB1	ACTR3
LSAMP	CEACAM5
C5AR1	GNG2
AGTR2	C5AR1
PPAP2B	UGT8
CD93	CEACAM1
RAP1A	VWF
GNG2	CXCL5
CXCL12	ANXA1
THY1	ART4
ADAMTSL4	SBSPON
RECK	ART4
FZD4	ARPC3
SDC1	MMP7
DYNC1I2	CENPK
LSAMP	CD52
GPIHBP1	CD52
EPB41L3	EPB41L5
F2RL1	GPR65
CD52	NTNG1
CXCL12	NMU
SPTBN1	KDELR2
ARAP2	KDELR2
COL10A1	PLOD2
FZD4	SH3GL3
S1PR1	CXCL13
MMP9	CDH1
CXCL5	CXCL13
F2RL1	GNG11
SBSPON	ADAMTS8
ARRB1	SH3GL3
PROK2	GNG11
EGFR	ACTR3
C7	CFP
PLCB4	PROK2
AGTR2	PPBP
LILRB2	C1orf162
ZBTB16	SOCS3
IGLL5	MS4A2
LSAMP	VNN2
LILRB2	CEACAM1
CD52	ART4
ANXA1	P2RY13
CXCL13	SSTR1
FPR1	NMU
KIF15	KDELR2
PLCB4	ANXA1
GRK5	PROK2
ARRB1	IL7R
CXCL12	GNG11
GNG2	PROK2
CDKN1C	CDKN2B
EDNRB	KISS1R
GOLM1	TNC
IL6	CP
ANXA1	P2RY14
SPP1	WFS1
IL6	UBE2C
FZD4	ARPC4
THSD7A	ADAMTS8
GNG2	NMU
DYNC1I2	CCNB1
FRK	PTX3
CX3CR1	NMU
DYNC1I2	CDC20
KDELR3	SPTBN1
ZEB1	CDH1
FPR2	AGTR1
SOCS3	RNF144B
IGLL5	ARPC4
IL6	GOLM1
SDC1	MMP9
SDC1	COL6A6
ADIRF	PPARG
FBXO32	SOCS3
AGTR1	ARPC4
FOS	MS4A2
LDLR	IL7R
SDC1	VCAN
LCN2	CFP
METTL7A	PPBP
CD52	NEGR1
LMO7	SOCS3
COL11A1	PCOLCE2
PLCB4	NMU
OSCAR	METTL7A
CP	WFS1
SFTPB	CSF2RB
LRRFIP1	FGF2
DYNC1I2	BUB1
LCN2	PTX3
GNG11	RAMP3
GOLM1	CHRDL1
EBF1	PPARG
AGTR2	ADRB2
FPR1	AGTR2
DYNC1I2	CCNB2
IL7R	EGFR
TRIM2	IRF1
S1PR1	PPBP
COL1A2	MSR1
MSR1	COL1A1
FOS	HIST1H2BD
PTGDS	PTGS2
SEMA5A	ADAMTSL3
GRK5	F2RL1
DYNC1I2	MAD2L1
CD36	OLR1
EDN1	PLCB4
CSF2RB	SFTPC
EDN1	FGR
AGTR2	CXCL3
CXCR2	CXCL13
CXCL12	FGR
NEGR1	CEACAM5
TRIM2	ICAM1
SMAD9	CAV1
COL4A3	LEPREL1
GNG2	RAMP3
NEGR1	VNN2
FPR2	CXCL13
COL4A3	SDC1
HBB	TCN1
RXFP1	ADRB2
CXCL12	P2RY13
RECK	CD52
KIF26B	KIF11
FCGR3B	NTNG1
SLPI	PTX3
ANXA1	PROK2
LDLR	ACTR3
PLAU	CLEC12A
PLAU	PTPRB
FCGR3B	LSAMP
LSAMP	RECK
IGLL5	WASF3
RAP1A	CA2
PPBP	SSTR1
PTTG1	HMMR
CACNA2D2	GNG2
FLRT3	FGF2
GRK5	NMU
LILRB2	PLAU
IGLL5	SERPING1
CYR61	CP
EDNRB	NMU
EDN1	PROK2
ADRB1	RAMP3
AGTR1	IL7R
GPR65	KISS1R
COL10A1	LEPREL1
ARPC4	SH3GL3
METTL7A	PTX3
THBS2	CFP
MSLN	THY1
CXCR2	SSTR1
FZD4	GNG2
LMO7	RNF144B
CX3CR1	CXCL3
CXCL12	GNG2
ART4	CEACAM5
FPR2	S1PR1
PPBP	CXCL13
PLAU	MCEMP1
ADAMTS8	CFP
FPR2	KISS1R
CLU	PPBP
CXCL3	CXCL13
HBB	PTX3
FZD4	ACTR2
GOLM1	MSLN
NEDD4L	SOCS3
FPR2	SSTR1
ARHGAP6	KDELR2
FOS	CCL2
MSLN	CEACAM5
SOCS2	LMO7
QKI	VWF
HIST1H2BD	MND1
EDNRB	GPR65
PTX3	TCN1
NTNG1	CEACAM5
VIPR1	PTGER4
SCN7A	NFASC
HIST1H2BD	JUND
FZD4	ADRB2
PLCB4	F2RL1
OSCAR	FRK
FRK	TCN1
CXCL12	EDN1
CXCL2	S1PR1
CCL4	GNG11
MGAM	PLAU
PLAU	OLR1
CD52	CEACAM5
GOLM1	IGFBP3
SPIDR	BRIP1
FZD4	ACTR3
AGTR1	ACTR2
ARPC4	EGFR
PTGER4	RAMP3
P2RY14	GNG11
EYA4	HIST1H2BD
C5AR1	NMU
LDLR	ACTR2
FPR2	PLAU
CHRDL1	VCAN
F8	CLU
DYNC1I2	AURKA
THSD7A	CFP
IGLL5	ELMO1
CXCL5	NMU
RECK	VNN2
CEBPD	EBF1
IGFBP3	GZMH
FBXO32	ZBTB16
FZD4	PRKCB
RECK	THY1
PRKCB	PPP1R14A
AGTR2	NMU
CALCRL	ADRB2
METTL7A	TCN1
THY1	CEACAM5
PROK2	NMU
NEDD4L	HECW2
F2RL1	KISS1R
C5AR1	SSTR1
P2RY14	NMU
GPR65	NMU
FBXO32	RNF144B
AGTR1	PROK2
DEPDC1	ASPM
F8	SERPING1
MMRN1	CLU
CXCL2	P2RY14
ARPC4	IL7R
NOSTRIN	CAV1
LSAMP	ART4
CXCL5	SSTR1
SOCS2	ZBTB16
COL13A1	COL6A6
PROK2	KISS1R
CXCL13	NMU
FPR1	SSTR1
CXCL2	CXCL13
CCL4	ARRB1
MAFF	HBB
S1PR1	CXCL5
MMRN1	PROS1
VCAN	CP
NEGR1	ART4
ADAMTSL4	ADAMTS8
AGTR1	ARPC3
EDNRB	ANXA1
AREG	F8
SPP1	GOLM1
P2RY13	NMU
FZD4	IL7R
ADAMTSL3	CFP
CDH5	CDH1
CXCL2	NMU
THBS2	SBSPON
VIPR1	ADRB2
LRRK2	HBEGF
PPAP2C	UGT8
FRK	LCN2
CALCRL	ADRB1
CD55	KDELR2
CXCL2	SSTR1
CXCR2	S1PR1
RXFP1	RAMP2
METTL7A	CFP
CXCL3	SSTR1
AGTR1	ACTR3
MMP9	PTX3
EDNRB	PROK2
FPR2	CEACAM1
PTGDS	PTGIS
CX3CR1	SSTR1
ACTR2	ADRB2
ADAMTSL4	ADAMTSL3
RXFP1	ADRB1
AGTR1	F2RL1
SPP1	CHRDL1
EDN1	F2RL1
CXCL5	GNG11
EGFR	ARPC3
IGLL5	ARPC3
CCL4	CXCL12
GPIHBP1	RECK
ANXA1	AGTR2
CXCL2	GNG11
CACNA2D2	GNG11
PPAPDC1A	LPL
AGTR1	KISS1R
ANXA1	KISS1R
ACTR2	MNDA
SGPP2	UGT8
FPR2	ANXA1
PPAP2B	LPL
FCGR3B	MSLN
KDELR3	ANK2
GRK5	ANXA1
CDH5	CDH3
CYR61	CHRDL1
F8	PPBP
CX3CR1	CXCL5
CXCL3	GNG11
LDLR	ARPC3
EDNRB	F2RL1
PPBP	SERPING1
PPBP	NMU
P2RY13	GNG11
CXCL2	AGTR2
AGTR2	CXCR2
LMO7	RNF182
GNG2	KCNJ15
DYNC1I2	CASC5
AGTR2	CXCL13
GPIHBP1	CEACAM5
CDKN2A	TBX2
RXFP1	GNG11
GNG2	RAMP2
PRKCE	GNG11
KIF4A	NEK2
CX3CR1	GNG11
AGTR1	ADRB2
PROS1	CLU
GNG2	GNG11
PLAU	RAP1A
PLCB4	GNG2
EDN1	GNG2
NMU	GNG11
SH3GL3	ACTR3
ANK2	KDELR2
CXCL12	CXCL3
TOP2A	FOXM1
TOP2A	NCAPH
CDK1	FEN1
PRC1	DLGAP5
TPX2	NUF2
PRC1	UBE2C
NCAPH	AURKA
NEK2	CCNB1
RRM2	CCNB1
NCAPH	MCM5
CDC20	CEP55
PRC1	MCM5
ASPM	NUF2
CDK1	MKI67
CEP55	KIF15
UHRF1	CDCA7
TYMS	KIF11
PTTG1	CCNA2
KIF2C	FOXM1
MCM3	CDC20
KIF2C	NEK2
CDC20	KIF15
SMC4	CDC6
CDKN3	CCNA2
SMC4	MCM5
UHRF1	MCM2
UBE2C	MELK
UHRF1	CDC20
KIF4A	NCAPG
KIAA0101	DLGAP5
NEK2	CENPF
MCM4	NCAPH
KIF11	MCM5
MCM7	KIF11
TTK	CDKN3
KIAA0101	CCNB1
NUSAP1	ECT2
PBK	NEK2
CENPF	TPX2
NUSAP1	KIAA0101
TOP2A	MAD2L1
CEP55	CDKN3
TTK	KIAA0101
CDKN3	MAD2L1
CYR61	ZWINT
RRM2	MCM6
RRM2	KIF15
MAD2L1	GINS2
CDC20	CDC6
BUB1	CDC6
CDC20	FEN1
NUSAP1	FOXM1
UBE2C	NDC80
RRM2	MAD2L1
MKI67	NCAPG
CDKN3	CCNB1
FEN1	CCNA2
EGFR	CAV2
MCM7	MAD2L1
KIF2C	NCAPG
MMP9	TIMP3
KIF2C	KIAA0101
KIF20A	IQGAP3
TOP2A	ECT2
CDC20	NCAPH
NUSAP1	DEPDC1
NUSAP1	CCNB1
MCM4	NDC80
MKI67	NDC80
ECT2	NCAPG
NEK2	RRM2
NUSAP1	KIF15
FOS	DUSP1
CDCA7	GINS2
ERO1L	PDIA4
SMC4	BUB1
CDKN2A	MCM5
CDK1	SHCBP1
RRM2	MCM7
PBK	AURKA
HMMR	CENPF
MAD2L1	MCM4
CDKN3	CCNB2
CCNA2	NUF2
PRC1	MELK
TK1	MCM5
ECT2	AURKA
KIF4A	NCAPH
UHRF1	CCNA2
TOP2A	CHEK1
DEPDC1	NEK2
JUNB	EGR1
CDKN2A	MCM2
CDC20	PRR11
GTSE1	CDC20
KIF15	KIAA0101
ECT2	CCNB2
MCM3	NDC80
TTK	MCM4
MAD2L1	GMNN
MAD2L1	MCM6
MCM3	KIF4A
CENPF	MELK
DEPDC1	CCNA2
TOP2A	CDKN3
ASPM	ANLN
MELK	NUF2
NUSAP1	MELK
PBK	PRC1
RRM2	MCM5
SMC4	MAD2L1
KIF4A	MCM4
NDC80	MCM5
PTTG1	KIF2C
TOP2A	SHCBP1
CDC20	TYMS
ASPM	FOXM1
TTK	UBE2C
PBK	ECT2
GIMAP6	GIMAP4
MYH10	RAB11A
SHCBP1	CCNB2
KIF20A	ECT2
UHRF1	TOP2A
MAD2L1	MCM5
MCM3	UHRF1
KIF4A	TTK
TTK	NCAPH
CADM1	CRTAM
FOXM1	KIF11
CEP55	NEK2
CDK1	GADD45B
CHEK1	MAD2L1
RAB11FIP1	RAB11A
MCM3	PRC1
TTK	NEK2
CDC20	GINS2
PBK	MKI67
CDKN1C	CDK1
PRC1	SMC4
KIAA0101	MELK
PRC1	MCM2
MCM7	CCNB2
CDC20	SHCBP1
CEP55	CCNB1
FOXM1	NDC80
CDK1	KIF15
ASPM	MCM5
KIF4A	MKI67
FANCI	NCAPG
PBK	ANLN
FOS	BTG2
MFAP4	SFTPD
MCM2	KIF11
FCGR3B	LILRB2
KIF20A	ANLN
FOXM1	DLGAP5
PBK	KIAA0101
CDK1	ANLN
FEN1	NCAPG
UBE2C	NCAPG
NUF2	MND1
PRC1	CDKN3
NDC80	CDC6
RAP1A	RAB8B
SFN	CDCA7
PRC1	KIF2C
BUB1	MND1
PAICS	PPAT
PBK	KIF15
RRM2	CDC6
NUSAP1	KIF4A
DEPDC1	CEP55
MCM3	NCAPG
KIF4A	MCM5
CHEK1	NCAPG
TYMS	AURKA
CCNB2	MCM4
CEP55	TPX2
UBE2T	MAD2L1
CCNA2	GINS2
SHCBP1	BUB1
NUSAP1	PTTG1
MKI67	CCNB2
PTTG1	MELK
CDK1	TK1
SHCBP1	TPX2
CHEK1	CCNA2
CHEK1	TYMS
TYMS	GINS2
CEP55	AURKA
CCNB1	GADD45B
PTTG1	CENPF
TTK	KIF14
MCM3	TOP2A
DEPDC1	BUB1
KIAA0101	NCAPG
KIF15	CCNB1
AKAP12	PTRF
NME1	NQO1
DEPDC1	KIF20A
TOP2A	PTTG1
PRC1	ANLN
NCAPG	MND1
S100A3	S100A2
DEPDC1	TTK
NEK2	KIAA0101
FEN1	AURKA
ECT2	TTK
TOP2A	NUF2
CEP55	KIAA0101
PPAP2B	PPAP2C
MKI67	TPX2
MCM3	TTK
CEP55	CCNB2
DLGAP5	NCAPH
DEPDC1	CDK1
NEK2	KIF15
NUSAP1	SMC4
PTTG1	BUB1
CEP55	KIF14
NEDD4L	SFN
CHEK1	GINS2
CENPF	UBE2C
TOP2A	HMMR
CDKN3	KIF11
KIF14	DLGAP5
HMMR	MAD2L1
KIF2C	MELK
SHC3	FYN
TYMS	BUB1
FOXM1	BUB1
DEPDC1	NDC80
NUSAP1	TYMS
TOP2A	MCM4
CCNB2	GMNN
ECT2	BUB1
RRM2	FEN1
CDC20	CDKN3
KIF4A	MAD2L1
HSPB6	SFN
MKI67	UBE2C
BUB1	MCM6
UBE2C	CDKN3
CENPF	AURKA
KIF20A	FOXM1
KIF20A	CDKN3
KIF20A	HMMR
KIF20A	NUF2
MCM2	NCAPG
ASPM	FANCI
MCM2	CCNB1
HMMR	MELK
CHEK1	MELK
HMMR	NDC80
HMMR	TTK
PTTG1	ASPM
CDKN3	TPX2
DOCK4	ELMO1
TPX2	KIAA0101
NUSAP1	SHCBP1
HMMR	ANLN
NUSAP1	CASC5
NEK2	SHCBP1
KIF2C	CDKN3
TPX2	MAD2L1
CEP55	MAD2L1
KIF15	MAD2L1
SORD	CAT
CCNA2	NCAPH
GINS2	NCAPH
KIAA0101	MAD2L1
PTTG1	KIAA0101
CDK1	FANCI
PTTG1	UBE2T
DLC1	TNS1
PRC1	RRM2
KIF20A	MCM4
CDCA7	ORC6
TPX2	ANLN
RCC1	GMNN
FOXM1	NCAPG
CHEK1	BUB1
HMMR	KIF11
TYMS	CCNA2
CDK1	GINS1
RRM2	CDKN3
ASPM	TYMS
KIF14	BUB1
CDKN3	KIAA0101
NEK2	MELK
TYMS	FEN1
UBE2C	FOXM1
KIF14	CCNA2
HMMR	CCNA2
KIF4A	NUF2
CENPU	NCAPG
CDCA7	CCNA2
KIF4A	CENPF
PRC1	CEP55
CHEK1	CEP55
MAD2L1	MCM2
KIF14	KIF11
CDCA7	MAD2L1
PRC1	KIAA0101
FEN1	MAD2L1
HMMR	KIF4A
PRC1	NUF2
DOCK4	RAP1A
TYMS	KIAA0101
NUSAP1	CDC6
NUSAP1	FANCI
ASPM	SHCBP1
TYMS	CCNB2
NUSAP1	HMMR
ZWINT	KIAA0101
KIF20A	KIF14
SHC3	KDR
TOP2A	ANLN
PRC1	FOXM1
PRKCE	RRAS
CCNB2	GINS2
MCM6	AURKA
EFNA4	FYN
NUSAP1	NCAPH
PTTG1	TTK
TTK	ANLN
TPX2	MCM4
PTTG1	RRM2
NCAPH	CDC6
CCNA2	ANLN
KIF4A	CEP55
CHEK1	NDC80
KIF14	NCAPG
CEP55	NUF2
PTTG1	MAD2L1
SHCBP1	MELK
CEP55	ANLN
FEN1	GINS2
MCM4	CCNB1
ETS1	RUNX2
PTTG1	CEP55
SMC4	TPX2
MELK	ANLN
SHCBP1	NCAPH
ECT2	SMC4
TYMS	TPX2
UHRF1	ASPM
HMMR	UBE2C
FOXM1	MELK
MELK	MCM2
TOP2A	TYMS
CHEK1	CDC20
HMMR	CCNB2
HMMR	CDKN3
FERMT2	FERMT1
MAD2L1	MND1
KIF14	NDC80
CCNA2	GMNN
PRC1	TYMS
PRC1	KIF15
PBK	CHEK1
RAPGEF4	RRAS
CDKN2A	RRAS
NUF2	CDC6
KIF15	FANCI
ZWINT	MELK
PRC1	HMMR
CCDC69	RMI2
PDK1	PDK4
SHCBP1	NDC80
ATF3	BTG2
CEP55	FOXM1
MELK	CENPU
KIF15	MELK
KIF4A	CDKN3
UBE2C	KIF15
KIF4A	KIAA0101
HMMR	CCNB1
RRM2	AURKA
HMMR	CDC20
PRC1	PTTG1
MAD2L1	ANLN
FANCI	KIF11
HMMR	KIF15
OSCAR	FCGR3B
ECT2	CCNB1
NUSAP1	KIF14
ECT2	MAD2L1
TTK	CDC6
ANLN	CCNB1
ZWINT	RRM2
CCNB1	GINS2
UBE2C	GINS2
MCM7	CCNB1
NUSAP1	CHEK1
PBK	TYMS
CENPF	CDKN3
TTK	FOXM1
TTK	TYMS
FCGR3B	LILRA2
CHEK1	KIF11
TYMS	MELK
GTSE1	TPX2
CHEK1	CCNB2
CCNB2	ANLN
KIF4A	FOXM1
PECAM1	CDH5
GINS2	AURKA
CDK1	KIF14
PBK	FOXM1
MELK	GINS2
ANLN	NCAPG
HMMR	KIF2C
TYMS	NUF2
FANCI	MELK
PDE5A	PDE2A
GINS2	DLGAP5
SMC4	CCNA2
PRC1	MKI67
NLRC4	IL1B
TYMS	DLGAP5
DLGAP5	CDC6
MELK	MCM4
PRC1	CENPF
FLI1	CDH5
HMGA2	SMAD9
FOXM1	AURKA
KIF11	GINS2
NUF2	AURKA
NUSAP1	CDKN3
ASPM	MND1
CENPF	KIAA0101
CHEK1	DLGAP5
ECT2	SHCBP1
UBE2C	NUF2
MAD2L1	CDC6
GTSE1	AURKA
CHEK1	ASPM
PBK	DEPDC1
PTTG1	TYMS
GTSE1	CCNA2
ATF3	JUNB
RRM2	FOXM1
BUB1	GINS2
NEK2	NCAPG
RRM2	GINS2
KIF14	AURKA
ECT2	TPX2
ASPM	CDC6
FANCI	CCNA2
TOP2A	MCM2
HMMR	KIAA0101
ANLN	NDC80
PTTG1	NDC80
ZWINT	CEP55
MKI67	NEK2
CDK1	UBE2T
MKI67	MELK
PBK	ZWINT
CDC20	CDCA7
PLCE1	PRKCB
FLRT3	LPHN2
KIF4A	RRM2
TOP2A	FANCI
MCM2	AURKA
KIF14	CCNB1
NUF2	NCAPH
PRC1	SHCBP1
PBK	SHCBP1
NUSAP1	GINS2
NUSAP1	ANLN
HMMR	RRM2
MCM3	NCAPH
ZWINT	TPX2
PRC1	FANCI
FANCI	NDC80
S100A10	S100A3
SDC1	TNC
KIAA0101	GINS2
FANCI	CCNB1
FOXM1	KIF15
FANCI	DLGAP5
MAOB	AOC3
DEPDC1	KIF15
CHEK1	FEN1
KIF14	CENPF
UHRF1	NDC80
MCM3	CCNB1
PLCB4	PRKCB
CDKN3	ANLN
KIF14	CCNB2
ZEB2	ZEB1
KIAA0101	CENPU
KIF4A	SHCBP1
HMMR	NUF2
PTTG1	NUF2
EZH2	NCAPG
ACSS3	AOX1
PLCE1	RAP1A
CDKN3	NDC80
KIF20A	NCAPH
ZWINT	DLGAP5
FYN	CAV2
GTSE1	KIF2C
CENPF	ANLN
ZWINT	CDKN3
CDKN2A	GMNN
MCM4	AURKA
CEP55	SHCBP1
KIF4A	ANLN
DEPDC1	HMMR
CHEK1	TTK
ASPM	CENPU
ECT2	DLGAP5
ICAM2	ICAM1
CD36	COMP
PECAM1	KDR
CENPF	MND1
CEP55	FANCI
CDC20	KIF14
KIF15	GINS2
GTSE1	KIF20A
KIF14	NEK2
GGCT	CDO1
PRC1	NEK2
ZWINT	UBE2C
CHEK1	AURKA
KIF4A	KIF14
PBK	KIF14
FANCI	TPX2
CHEK1	KIF15
GTSE1	NCAPG
ZFP36	DUSP1
KIF20A	TYMS
FGFR4	FGF7
KIF2C	GINS2
CDKN3	KIF15
TOP2A	ZWINT
MKI67	KIF14
FEN1	TPX2
PBK	GINS2
MCM3	CCNB2
TOP2A	IQGAP3
RAP1A	HEG1
ANLN	AURKA
MCM7	NCAPH
FANCI	BUB1
CD36	THBS2
NEDD9	SH2D3C
UBE2T	NUF2
PTTG1	KIF11
FOXM1	CDKN3
HMMR	FANCI
FEN1	MELK
PPAPDC1A	PPAP2B
PRKCE	KCNJ8
PRKCB	EGLN3
PPAPDC1A	PPAP2C
ECT2	NEK2
CCNB2	GADD45B
