S	T
CENPU	CCNB1
BUB1	AURKA
CENPK	CDK1
FEN1	MCM5
MCM3	FEN1
JUNB	FOSB
CDKN1C	CCNA2
CCNA2	NDC80
UBE2C	DLGAP5
TOP2A	NCAPG
CXCL2	CXCL3
CENPF	CENPU
CCNA2	AURKA
CDK1	MCM4
ASPM	MAD2L1
PRC1	NCAPG
GTSE1	CDK1
TOP2A	CDC20
COL5A2	COL5A1
TOP2A	KIF11
CENPK	MAD2L1
CENPK	BUB1
RAPGEF4	RAP1A
FPR1	FPR2
CDK1	KIF20A
PRC1	CDC20
TOP2A	NDC80
CCNA2	DLGAP5
TOP2A	CCNA2
KIF11	AURKA
TOP2A	ASPM
PTRF	EGFR
BUB1	MCM4
TOP2A	CCNB2
ASPM	TPX2
SMC4	KIF11
PRC1	ASPM
TOP2A	MKI67
NUSAP1	TOP2A
ZWINT	CENPF
PRC1	TPX2
KIF2C	CENPU
NUSAP1	MKI67
PBK	CDC20
PRC1	KIF4A
TPX2	DLGAP5
KIF4A	BUB1
TOP2A	CCNB1
CDC20	MCM5
COL5A1	COL3A1
CDC20	MELK
TOP2A	CENPF
CENPK	NUF2
FOS	EGR1
KIF20A	DLGAP5
HOXB7	HOXA5
CHEK1	MCM6
ASPM	CENPF
PRC1	CCNB1
NUSAP1	PRC1
CDK1	PTTG1
MCM4	KIF11
NUSAP1	MAD2L1
CDK1	MCM7
UBE2C	TYMS
KIF20A	CCNB1
PBK	CCNB1
JUND	FOSB
CDC20	FOXM1
TYMS	MCM4
CDCA7	MCM2
TTK	NUF2
SMC4	CCNB1
CXCL2	CXCL5
KIF4A	TPX2
ACVRL1	TGFBR2
CENPF	CASC5
KIF20A	TPX2
JAM2	JAM3
GTSE1	CCNB1
MCM3	GMNN
SMC4	CCNB2
CEP55	KIF11
MKI67	KIF11
ASPM	SMC4
TTK	CCNB2
KIF20A	CDC20
CHEK1	MCM5
ANK2	SPTBN1
CCNA2	NCAPG
KIF20A	CCNB2
PBK	DLGAP5
GMNN	CDC6
HMMR	BUB1
CENPK	NDC80
CCNB1	CDC6
NUSAP1	CEP55
CHEK1	UBE2T
MCM3	BUB1
HMMR	DLGAP5
PBK	MELK
CAV1	EGFR
SMC4	NDC80
PBK	NDC80
CDK1	CASC5
NUSAP1	CCNB2
NEK2	CCNB2
NUSAP1	DLGAP5
EPAS1	EGLN3
CDH5	KDR
SFN	LRRK2
TOP2A	TTK
CASC5	CCNB2
CDK1	GMNN
CDK1	MCM2
CHEK1	RMI2
NUF2	KIF11
NUF2	NCAPG
PBK	CCNB2
CDC20	CENPU
KIF11	CCNB1
KIF2C	CASC5
CENPK	CENPF
FPR1	C5AR1
HIF3A	EGLN3
BUB1	MELK
ASPM	CCNB1
CDK1	CDKN3
UBE2T	FANCI
NDC80	AURKA
CDK1	CEP55
FPR1	CXCR2
TYMS	NCAPG
CHEK1	MCM7
LILRB2	CD93
EGFR	CDH1
UBE2C	TPX2
NUSAP1	CENPF
PRC1	CCNA2
KIF20A	NCAPG
TOP2A	KIAA0101
MMP9	MMP1
TPX2	KIF11
PBK	CCNA2
MCM3	CHEK1
KIAA0101	CCNA2
KIF4A	ASPM
TTK	SMC4
PRC1	TTK
LSAMP	NEGR1
CCNE2	CCNA2
PBK	TTK
GATA2	LMO2
PBK	UBE2C
CDK1	CDC6
TGFBR2	TGFBR3
PBK	BUB1
CENPK	CCNB1
TPX2	CCNB1
LGR4	RSPO3
ARRB1	CXCR2
CDK1	MCM5
KIF20A	CCNA2
ARRB1	ADRB2
KIF20A	AURKA
SFTPB	SFTPD
RHOB	NGEF
CDK1	MCM6
CASC5	MAD2L1
AGTR1	ARRB1
CCNB1	AURKA
PBK	KIF11
FYN	KDR
WASF3	ACTR3
GRK5	ADRB2
ECT2	ASPM
AGTR1	GRK5
MCM3	ORC6
TPX2	MELK
KIF20A	NDC80
CDK1	KIF4A
S100A10	PTRF
MELK	DLGAP5
PBK	KIF20A
TPX2	NCAPG
CXCR2	PPBP
CEP55	TTK
COL5A2	COL11A1
MCM2	GMNN
KIF2C	TPX2
KIF15	DLGAP5
IGFBP3	MMP1
CDK1	KIAA0101
MKI67	BUB1
GPIHBP1	LPL
CASC5	CCNB1
CEP55	CCNA2
CDCA7	MCM5
CDCA7	MCM4
MCM7	GMNN
ANK2	NFASC
CDC20	KIAA0101
MELK	CCNA2
KIF15	CCNA2
KIF2C	CCNA2
CENPK	CASC5
TOP2A	KIF2C
MMP9	MMP7
CDC20	NCAPG
NUSAP1	NUF2
CDH3	CDH1
COL11A1	COL1A2
MCM4	GMNN
FGR	EGFR
CDC20	MKI67
MYH11	MYL9
ECT2	CCNA2
KIF4A	DLGAP5
DEPDC1	TOP2A
NUSAP1	AURKA
CDK1	SFN
NPNT	ITGA8
NUF2	DLGAP5
AGTR1	EGFR
SOCS2	SOCS3
NUSAP1	KIF20A
NUSAP1	TTK
DEPDC1	KIF11
TOP2A	RRM2
KIF4A	CDC20
KIF20A	UBE2C
UBE2C	KIF11
CD36	TLR4
MELK	CCNB2
MKI67	KIF15
ASPM	KIF15
UBE2C	BUB1
GRK5	GNG2
MELK	CCNB1
ECT2	CDC20
TOP2A	AURKA
ANGPT1	TEK
PRKCB	EGFR
KIF15	NDC80
ARRB1	FGR
VIPR1	RAMP3
UBE2C	KIAA0101
CENPK	CCNB2
TOP2A	CEP55
SH3GL3	EGFR
F8	VWF
ARRB1	EGFR
PBK	NCAPG
MMP1	MMP7
TTK	MKI67
MKI67	FOXM1
CEP55	DLGAP5
NUSAP1	PBK
MELK	NDC80
EZH2	PPARG
KIAA0101	CCNB2
EGFR	HBEGF
ETS1	FOS
FYN	CAV1
COL13A1	ITGA1
CALCRL	RAMP3
PBK	RRM2
AGER	S100A12
VIPR1	RAMP2
